"year","zone","destination","method","mean"
"2007","S01001792","Citizens Advice Bureau","Car","22.4"
"2007","S01001792","Shopping Facilities","Car","1.2"
"2006","S01001792","Shopping Facilities","Car","1.2"
"2009","S01001792","Shopping Facilities","Car","0.7"
"2003","S01001792","Supermarket","Car","2.1"
"2006","S01001792","GP","Car","6.9"
"2012","S01001792","GP","Car","6.7"
"2007","S01001792","GP","Car","6.9"
"2009","S01001792","Citizens Advice Bureau","Car",8
"2007","S01001792","Cash Machine","Car","1.2"
"2009","S01001792","GP","Car","2.8"
"2007","S01001792","Higher Education Establishment","Car","11.6"
"2009","S01001792","Chemists And Pharmacies","Car","0.7"
"2009","S01001792","Higher Education Establishment","Car","5.5"
"2009","S01001792","Jobcentre Plus","Car","5.7"
"2009","S01001792","Cash Machine","Car","0.5"
"2007","S01001792","Jobcentre Plus","Car","13.6"
"2009","S01001792","Library","Car","0.8"
"2007","S01001792","Library","Car",2
"2007","S01001792","Chemists And Pharmacies","Car","1.9"
"2007","S01001792","Nursery","Car","1.1"
"2007","S01001792","Further Education Establishment","Car","16.3"
"2009","S01001792","Nursery","Car","0.3"
"2003","S01001792","Petrol Station","Car","8.8"
"2007","S01001792","Petrol Station","Car","1.1"
"2009","S01001792","Petrol Station","Car","0.5"
"2012","S01001792","Petrol Station","Car","2.3"
"2006","S01001792","Petrol Station","Car","1.1"
"2009","S01001792","Further Education Establishment","Car","2.9"
"2009","S01001792","Police Station","Car","0.9"
"2007","S01001792","Police Station","Car","2.2"
"2009","S01001792","Post Office","Car","0.7"
"2007","S01001792","Post Office","Car","1.8"
"2006","S01001792","Post Office","Car","1.8"
"2009","S01001792","Bank Or Building Society","Car","0.8"
"2009","S01001792","General Store","Car","5.2"
"2003","S01001792","Post Office","Car","2.5"
"2009","S01001792","Cash Machine","Public Transport",23
"2009","S01001792","Citizens Advice Bureau","Public Transport","53.7"
"2009","S01001792","Chemists And Pharmacies","Public Transport","17.5"
"2009","S01001792","Further Education Establishment","Public Transport","13.3"
"2009","S01001792","General Store","Public Transport",22
"2006","S01001792","GP","Public Transport","17.1"
"2012","S01001792","GP","Public Transport","11.5"
"2009","S01001792","GP","Public Transport","11.3"
"2009","S01001792","Higher Education Establishment","Public Transport","23.5"
"2009","S01001792","Jobcentre Plus","Public Transport","27.3"
"2009","S01001792","Library","Public Transport","6.2"
"2009","S01001792","Nursery","Public Transport",8
"2009","S01001792","Police Station","Public Transport","6.4"
"2012","S01001792","Post Office","Public Transport",6
"2009","S01001792","Post Office","Public Transport","5.7"
"2006","S01001792","Post Office","Public Transport","4.7"
"2012","S01001792","Shopping Facilities","Public Transport","5.9"
"2009","S01001792","Shopping Facilities","Public Transport","5.8"
"2006","S01001792","Shopping Facilities","Public Transport","3.9"
"2009","S01001792","Banks And Building Societies","Public Transport","6.5"
"2007","S01001793","General Store","Car","11.6"
"2012","S01001793","Post Office","Car","2.4"
"2006","S01001793","Primary School","Car","2.4"
"2007","S01001793","Primary School","Car","2.4"
"2009","S01001793","Primary School","Car","0.9"
"2012","S01001793","Primary School","Car","4.7"
"2003","S01001793","Primary School","Car","3.5"
"2012","S01001793","Secondary School","Car","2.4"
"2007","S01001793","Secondary School","Car","2.6"
"2006","S01001793","Secondary School","Car","2.6"
"2009","S01001793","Secondary School","Car","0.9"
"2007","S01001793","Bank Or Building Society","Car","1.7"
"2012","S01001793","Shopping Facilities","Car","2.4"
"2003","S01001793","GP","Car","7.3"
"2007","S01001793","Citizens Advice Bureau","Car","21.9"
"2007","S01001793","Shopping Facilities","Car","1.1"
"2006","S01001793","Shopping Facilities","Car","1.1"
"2009","S01001793","Shopping Facilities","Car","0.7"
"2003","S01001793","Supermarket","Car","3.1"
"2006","S01001793","GP","Car","6.1"
"2012","S01001793","GP","Car","6.4"
"2007","S01001793","GP","Car","6.1"
"2009","S01001793","Citizens Advice Bureau","Car","7.7"
"2007","S01001793","Cash Machine","Car","1.1"
"2009","S01001793","GP","Car","2.6"
"2007","S01001793","Higher Education Establishment","Car","10.8"
"2009","S01001793","Chemists And Pharmacies","Car","0.6"
"2009","S01001793","Higher Education Establishment","Car",5
"2009","S01001793","Jobcentre Plus","Car","5.5"
"2009","S01001793","Cash Machine","Car","0.5"
"2007","S01001793","Jobcentre Plus","Car","12.9"
"2009","S01001793","Library","Car","0.7"
"2007","S01001793","Library","Car","1.9"
"2007","S01001793","Chemists And Pharmacies","Car","1.7"
"2007","S01001793","Nursery","Car","1.6"
"2007","S01001793","Further Education Establishment","Car","15.6"
"2009","S01001793","Nursery","Car","0.6"
"2003","S01001793","Petrol Station","Car","9.3"
"2007","S01001793","Petrol Station","Car","1.9"
"2009","S01001793","Petrol Station","Car","0.7"
"2012","S01001793","Petrol Station","Car","2.8"
"2006","S01001793","Petrol Station","Car","1.9"
"2009","S01001793","Further Education Establishment","Car","2.6"
"2009","S01001793","Police Station","Car","0.8"
"2007","S01001793","Police Station","Car",2
"2009","S01001793","Post Office","Car","0.6"
"2007","S01001793","Post Office","Car","1.6"
"2006","S01001793","Post Office","Car","1.6"
"2009","S01001793","Bank Or Building Society","Car","0.7"
"2009","S01001793","General Store","Car","4.9"
"2003","S01001793","Post Office","Car","3.5"
"2009","S01001793","Cash Machine","Public Transport","22.7"
"2009","S01001793","Citizens Advice Bureau","Public Transport","53.8"
"2009","S01001793","Chemists And Pharmacies","Public Transport","17.5"
"2009","S01001793","Further Education Establishment","Public Transport","13.8"
"2009","S01001793","General Store","Public Transport","22.2"
"2006","S01001793","GP","Public Transport","15.9"
"2012","S01001793","GP","Public Transport","11.8"
"2009","S01001793","GP","Public Transport","11.6"
"2009","S01001793","Higher Education Establishment","Public Transport","23.3"
"2009","S01001793","Jobcentre Plus","Public Transport","27.5"
"2009","S01001793","Library","Public Transport","6.4"
"2009","S01001793","Nursery","Public Transport","9.8"
"2009","S01001793","Police Station","Public Transport","6.7"
"2012","S01001793","Post Office","Public Transport","5.4"
